Tanggal;Kemayoran_Tn;Kemayoran_Tx;Kemayoran_Tavg;Kemayoran_RH_avg;Kemayoran_RR;Kemayoran_ss;Kemayoran_ff_x;Kemayoran_ddd_x;Kemayoran_ff_avg;Kemayoran_ddd_car;TJP_Tn;TJP_Tx;TJP_Tavg;TJP_RH_avg;TJP_RR;TJP_ss;TJP_ff_x;TJP_ddd_x;TJP_ff_avg;TJP_ddd_car;Bogor_Tn;Bogor_Tx;Bogor_Tavg;Bogor_RH_avg;Bogor_RR;Bogor_ss;Bogor_ff_x;Bogor_ddd_x;Bogor_ff_avg;Bogor_ddd_car;status_banjir
07-02-2021;25.8;30.2;27.8;82;67.8;7.6;8;350;3;C ;25;30.4;28.4;81;20;8.3;7;330;4;NW;;27.5;24;95;25.9;4.7;4;315;2;C ;0
08-02-2021;25;30.2;28;83;9;4.4;8;330;2;C ;26;30.8;28.5;83;11.9;4.3;6;300;2;NW;;;25.5;91;67.7;;3;40;0;C ;0
09-02-2021;24.2;30.2;27.2;87;16.5;3.5;4;270;1;C ;24.4;30.5;27.4;86;14.8;4.8;6;310;3;NW;;29.7;25.2;90;14.4;1.5;4;350;0;C ;0
10-02-2021;25.4;30.8;28.1;80;1.4;5.8;7;200;2;C ;25.4;30.5;27.5;86;2;4.3;7;300;3;W ;22.6;27.8;24.9;91;0;;4;270;1;C ;0
11-02-2021;25.8;32;27.6;81;8888;2.8;5;290;2;C ;25.8;31;27.5;84;0.1;1.3;7;280;2;W ;22.4;;25.5;86;10.5;0.2;3;40;1;C ;0
12-02-2021;25.4;29.6;27.4;82;4.2;4;5;330;2;NW;26;29.8;28;80;;6.4;6;330;3;NW;21.1;30.6;24.4;92;0.5;5;4;350;1;C ;0
13-02-2021;25.2;31;27.9;79;0.8;3;6;340;2;C ;25.2;30.2;27.6;85;13.9;4.2;6;320;3;NW;21.9;29.5;25.5;88;9.4;4.2;4;330;1;C ;0
14-02-2021;26;29.2;27.3;88;22.3;4.2;3;270;1;C ;25.8;28.3;27.8;87;8888;4;3;340;2;N ;23.3;29.4;26.1;90;0.1;4.4;5;360;1;C ;0
15-02-2021;25.2;30.6;27.4;86;11.8;1.2;7;340;2;C ;25.3;30.5;27.5;88;36.1;0;5;290;2;NW;22.8;30.5;25.8;91;24.8;0;4;360;1;C ;0
16-02-2021;24.2;28.2;25.5;95;59;4.1;3;330;1;C ;24.6;27.2;26;93;78;4.6;5;350;1;C ;21.8;;25.3;91;28.6;5.5;3;320;1;C ;0
17-02-2021;23.8;29;26;85;72.8;0;5;340;1;C ;24;28;26.1;86;39.2;0;4;240;3;NW;22;28.6;25.6;88;0.5;3.2;4;330;1;C ;0
18-02-2021;24.4;30;25.8;86;0;0;5;310;2;C ;24.8;30;26.3;86;;0;6;350;3;NW;22.8;30.8;25.3;89;8888;0;6;315;1;C ;0
19-02-2021;24.5;29.4;26.6;82;94.1;2;7;340;2;C ;24.6;29.5;27.1;81;52.8;3.4;5;250;4;W ;22.2;26.4;23.9;93;95.9;2;3;320;1;C ;1
20-02-2021;;30;27.9;78;27;2.6;7;320;3;NW;25.8;30;28.1;81;6.3;0.5;7;330;3;NW;22.2;29;25.1;90;25.2;0;5;350;1;C ;1
21-02-2021;24.8;30.2;27.2;82;16.4;3.5;9;330;2;C ;25.5;30.4;27.4;84;5.1;1.9;5;310;2;NW;;29.4;26.4;84;36.4;1;4;330;1;C ;1
22-02-2021;25.4;30.4;27.9;78;0;8.4;6;300;2;NW;25.6;30.8;28.1;80;8888;8.6;6;300;3;NW;22;30.4;25.7;88;;4;4;320;1;C ;1
23-02-2021;26.4;31;27.9;80;0;5.5;10;340;3;C ;26.6;31.2;28.2;81;;5.8;6;280;3;W ;21.9;31.5;25.9;84;1.6;5.4;4;90;1;C ;1
24-02-2021;24;32.4;27.3;77;0.3;5.4;8;300;2;C ;26;31.4;28.5;77;1;3.1;9;270;4;W ;22.6;29.7;25.6;84;2;6.2;5;310;1;C ;1
25-02-2021;24.6;30;27.3;85;11.8;3.2;10;320;3;NW;24.6;29.9;26.9;87;3.3;0;8;310;3;NW;;30;25.7;88;27.1;1.2;5;350;2;C ;1
26-02-2021;24;29.6;26.8;86;13.9;3.4;3;310;1;C ;23.5;29.6;26.9;87;30;0.6;5;330;2;N ;;30.8;25.9;86;21.7;1.8;4;340;2;C ;0
27-02-2021;25;31.6;28.1;82;3.9;1.2;5;320;1;C ;25.1;31.2;28.1;85;15;0;5;360;2;NE;22.9;31.6;26.7;85;8888;6.3;5;320;1;C ;0
28-02-2021;26;34;29.5;70;;5;6;270;2;W ;26;32.3;29.3;74;0;4.8;5;210;2;W ;24;33.4;27.3;80;;4.6;5;180;1;C ;0
01-03-2021;26.2;33.4;29.3;72;0.2;3.5;8;330;3;C ;26.7;32.2;29;76;0.3;2.7;5;260;3;N ;23;33;26.2;80;8888;8.6;3;350;1;C ;0
02-03-2021;24.8;30.8;27.3;82;20.4;5.8;3;310;1;C ;24.2;31;26.8;89;46.7;6.6;3;320;1;C ;;;;;;;;;;;0
03-03-2021;24.6;31.4;27.7;82;35.2;4.5;7;260;1;C ;;30.8;27.4;84;33.8;4.6;4;280;2;W ;;;;;3;0.8;0;0;0;C ;0
04-03-2021;25;31.6;28.3;78;1.3;5.9;4;310;1;C ;25;31.1;28.5;81;;7;4;310;2;NW;22.9;32.2;;;18.6;4.3;3;70;2;NW;0
05-03-2021;25.4;31.6;27.4;82;3.2;3;10;320;2;C ;26.3;32;28.1;81;3.3;2.7;6;20;2;C ;;;;;12.1;1.6;4;360;1;C ;0
06-03-2021;25.8;30.4;26.8;86;0.6;4.2;3;300;1;C ;26.4;30.5;27.3;86;0.5;5.5;5;310;2;C ;21.3;31.5;25.1;87;6;5.5;4;50;1;C ;0
07-03-2021;24.2;30.6;27.1;85;67.2;5;8;330;2;C ;25;30.8;27.7;83;5;3.3;4;330;1;C ;;31.9;25.3;87;0.1;5;5;200;1;C ;0
29-12-2019;25;30.2;27.5;84;10.2;2.7;4;130;1;C ;26;29.1;27.2;86;13.2;5.3;5;300;1;C ;23;30;26.1;84;8888;0;3;300;1;S ;0
30-12-2019;25;32.6;28.9;75;0.8;1;6;260;2;C ;26;32.2;29;79;1.2;0;5;340;2;C ;23;32.6;27;84;;4.2;6;270;1;C ;0
31-12-2019;26;31.2;27.6;83;0;9;5;300;2;NW;27;31;27.6;84;0;9.6;12;350;4;N ;24;30.4;25.7;92;20.6;6.2;5;180;2;C ;1
01-01-2020;25;28.8;26.8;90;145.3;4.5;3;290;1;C ;25;29.5;27.4;88;146.1;3.1;7;320;3;W ;22.5;26.5;24.6;95;44.4;3.2;4;90;1;C ;1
02-01-2020;25;30.8;27.6;80;58.8;0;4;250;2;C ;25.6;31.3;27.9;83;13.5;0;5;320;2;W ;23;29.8;25.7;92;34.4;0;4;270;1;C ;1
03-01-2020;25.4;31;28.5;77;;3;5;290;2;C ;25.8;30.8;28.6;79;0;7.3;6;350;3;NW;23.3;30.2;26.1;88;0.3;1.2;3;330;1;W ;1
04-01-2020;25.6;31.2;28.3;82;2.5;0;6;330;2;C ;26.8;30.8;28.2;85;6.4;0.8;6;300;3;NW;;28.6;25.8;92;0.3;3.7;3;330;1;C ;1
05-01-2020;26.8;29.6;27.9;85;0.2;0.4;5;320;1;C ;;30.2;27.8;86;1.1;0.8;9;290;3;W ;23.2;28.2;25.2;92;3.3;0;5;300;2;C ;1
06-01-2020;25;30;27;87;18.2;0;5;23;1;C ;25;30.5;27.2;87;54;0;7;310;3;W ;23.3;28.4;24.9;94;6.2;0;3;180;1;C ;1
07-01-2020;25.2;30;26.9;89;15;1.2;4;320;1;C ;25.2;30.4;27.3;88;16.9;3.2;6;310;3;W ;23;31;26.4;90;9.3;0;4;330;1;C ;1
08-01-2020;25;30.8;28.2;80;2.8;2.5;5;280;1;C ;25.4;30.2;28.1;80;0.2;4.7;7;300;3;NW;23.6;29.6;25.2;93;2.5;4.4;5;180;2;C ;1
09-01-2020;25;31;27.7;85;28.7;0;5;310;2;W ;;;28.4;82;69.4;0.1;7;270;4;NW;;27.8;25.2;94;3;1.1;5;180;2;C ;0
10-01-2020;24.4;29.2;25.9;90;23.6;0;4;310;1;C ;24.4;28.8;25.9;88;20.1;0;12;280;2;W ;23;28.7;25.5;85;9.1;0;6;300;3;C ;0
11-01-2020;24.6;30;26.5;87;20.4;0;5;290;2;W ;24.2;30.8;26.6;86;21;0;7;270;3;W ;;29.4;25.9;86;8888;;8;270;2;C ;0
12-01-2020;25.2;31.4;27.9;80;4.3;0.5;4;230;1;C ;25.6;31.4;28.3;79;4.5;2.2;4;300;3;W ;21.6;32.3;27.1;79;;2.5;5;270;2;C ;0
13-01-2020;25.4;30.6;27.5;82;1.5;6;3;270;1;C ;26.2;29.7;27.4;87;0.4;10;7;270;3;NW;22.2;31.4;26.8;82;;7.7;5;290;1;C ;0
14-01-2020;26;32;28.5;80;0.5;1;7;350;3;NW;26.2;31.4;28.9;78;0.3;2.2;4;320;3;NW;23.2;30.8;26.9;83;8888;5.6;5;330;2;C ;0
15-01-2020;25.6;31;27.9;82;33.8;7.8;4;320;1;C ;25;31;28.2;82;35;8.5;3;270;1;C ;23.4;29.9;25.3;92;4.6;7.8;2;240;1;C ;0
16-01-2020;25.6;31;28.2;83;0;3.2;6;310;2;C ;26.2;30.9;28.5;82;;5.4;4;300;2;C ;;32.4;26.2;86;5.3;0.4;4;100;1;C ;0
17-01-2020;26.4;32;28.4;82;8888;2.2;5;270;2;C ;26.9;31.6;28.9;79;1.1;4;5;330;3;N ;23;31.8;26.4;86;9;8.1;4;300;2;C ;0
18-01-2020;24;30.6;27.5;81;78.5;6;3;290;1;C ;25.2;30.4;27.4;84;23.5;9.1;3;300;2;C ;22.8;30;26.3;87;83;5.9;3;360;1;C ;0
19-01-2020;25;32;28.1;78;3.8;2;4;320;1;C ;25.2;31.6;28.5;81;2.2;2.8;6;340;2;NW;23;32.4;26.7;87;0.2;3.1;5;270;1;C ;0
20-01-2020;25.8;30.4;28.4;83;;8.8;4;330;2;NW;26.5;31;29;80;;9.4;4;320;2;NW;23;31.2;26.5;90;99.9;8.6;6;360;1;C ;0
21-01-2020;26.4;31.2;28.6;82;2.4;2.4;5;330;1;C ;26.8;31.3;28.7;82;;4.9;4;310;2;N ;;30.2;;;10.9;;4;360;2;S ;0
22-01-2020;26.8;34.4;29;80;0.3;4.2;5;330;1;C ;27.2;31.4;28.8;81;8888;6.3;4;300;2;N ;23;31.5;27;85;;5.3;4;90;2;S ;0
23-01-2020;25.4;33.8;28.3;83;74;4;5;340;1;C ;25.8;31.2;28.1;86;10.6;7;5;330;2;NW;24;30;26.3;92;8888;7.3;4;160;2;N ;0
24-01-2020;26;27.4;26.8;92;7.8;4.7;2;118;0;C ;25.6;29.7;27;91;19.9;5.5;6;320;2;NW;23.2;28.4;25.1;94;8.5;2.7;4;300;1;C ;0
25-01-2020;25.8;29.6;27.1;89;123.7;0;4;330;1;C ;25.6;29.6;27.5;87;112.3;0;5;300;2;NW;23.8;26.9;25.1;96;2;0;3;360;1;C ;0
26-01-2020;25.8;31.6;28.2;84;7.4;0.5;5;330;2;C ;26.2;31.6;28.3;84;2;0.6;4;40;2;NE;22.3;31.2;25.6;91;9.6;0;4;360;2;S ;0
27-01-2020;25.8;31.6;28.3;80;12.3;7;5;300;1;C ;26.2;31.5;28.9;80;1.5;8.1;4;320;2;NE;23.4;31;26.4;88;43.7;4.8;4;180;1;C ;0
28-01-2020;25.8;31.8;29;76;4.2;;4;300;2;C ;26.4;31.6;28.8;82;3.7;;3;340;2;N ;22.6;31.2;26.1;88;9.2;3.6;3;300;1;C ;0
29-01-2020;27.2;32.4;29.5;80;0;6.6;6;340;3;NW;27.4;;29.6;81;;8.4;7;280;2;NW;23.1;32.3;27.3;84;8888;4.4;4;360;2;C ;0
01-02-2018;25;31;27.4;82;2.5;4.5;6;300;1;N ;25;31.4;28;82;12;4.5;5;260;2;W ;24;31.8;27.2;78;8888;5.3;9;270;3;N ;0
02-02-2018;26;32.4;28.6;76;2.5;3.5;4;120;1;N ;25;31.4;28.8;79;1.3;4.5;4;280;2;W ;24;31.6;27.6;73;;4.1;4;270;1;N ;0
03-02-2018;24;30;27.4;78;50.7;5;4;300;1;N ;24;30.4;28.1;81;56.5;7.3;5;310;2;NW;23;;25.6;86;61.5;7.3;8;270;2;N ;0
04-02-2018;24;29.8;27.3;86;33;2.5;4;290;2;W ;25;30.6;27.7;85;22.5;3;6;280;3;W ;23;30;25.8;86;13.3;1.5;6;270;2;N ;0
05-02-2018;24;28.8;25.9;85;66;4.2;4;260;1;N ;;29.4;26.4;84;38.9;1.2;6;280;2;N ;23;29.8;24.9;84;30.4;;5;270;1;W ;1
06-02-2018;23;28.6;26;87;44;0;4;210;2;N ;24;;26.6;85;27.6;0;5;270;1;W ;23;28.1;23.5;95;10.4;0;11;270;2;N ;1
07-02-2018;24;29;26;85;12.1;2.5;4;320;1;N ;25;30;26.9;83;12.4;3.1;6;270;2;W ;23;31.6;26.4;79;21.4;0.3;8;280;1;N ;1
08-02-2018;25;29.8;26.9;84;5;0.3;5;280;2;W ;;;26.9;85;8888;0.9;4;300;2;NW;22;27.4;24.3;90;4.1;0.5;5;360;1;N ;1
09-02-2018;25;29.2;26.6;86;8.3;2.8;5;320;2;N ;25;;27.3;84;20;3.6;6;260;3;W ;;29.4;24.9;90;4.3;0.4;3;330;1;N ;1
10-02-2018;25;30;27.3;77;5.4;4.6;5;320;2;N ;25;30.5;27.7;78;13.5;5.7;4;270;3;W ;23;;25.6;89;8.7;4.1;6;270;1;N ;1
11-02-2018;25;30;27.2;83;0;8;5;300;2;N ;;30.2;27.4;85;7.5;9.5;7;290;2;NW;23;29.5;25.3;87;3.7;4.5;5;330;3;N ;1
12-02-2018;24;29.4;27.2;81;18.6;3;7;310;3;NW;26;30.6;28;77;8888;3.4;6;260;3;W ;23;;24.7;88;1.2;2.2;4;290;1;N ;1
13-02-2018;25;30;27.9;76;7;5.7;5;320;2;NW;27;30.7;28.5;75;0;6.2;4;310;2;NW;23;;25.4;82;62.7;2.1;15;270;5;W ;1
14-02-2018;26;29.8;27.2;82;8888;2;4;120;1;N ;26;30.2;27.3;81;9.6;3.4;4;290;2;N ;;29.4;25.3;85;11.7;0.8;4;270;1;N ;1
15-02-2018;26;26.6;25.6;89;3.2;1.3;3;290;1;N ;;26.5;26.1;87;9.9;;4;240;2;W ;23;26.7;24.4;89;0.5;2.6;5;270;1;N ;1
16-02-2018;24;31;27.2;83;104.6;0;5;270;2;N ;24;;27.4;85;100.5;0;5;310;2;W ;22;31.4;26.2;84;55.1;0;4;270;2;N ;0
17-02-2018;25;29.8;27.1;81;0;6.2;3;340;2;NW;;29.3;27.2;83;;8.2;3;260;2;W ;21;31.4;25.2;81;8888;5;5;300;1;N ;0
18-02-2018;25;31.4;27.3;79;2.8;1;4;160;2;N ;25;;27.4;82;7.8;1.9;3;250;1;NW;22;30.4;25.4;85;0.4;7.2;4;330;2;N ;0
19-02-2018;25;31;27.1;90;1;7.3;4;270;1;N ;;;28;83;2;8.5;3;270;1;N ;22;32;26.5;84;4.8;2.7;8;360;2;N ;0
20-02-2018;25;31;27.6;83;2;2.3;4;310;1;N ;25;31.8;27.8;84;4;5.1;5;290;2;N ;22;31;26;86;2.8;;6;220;1;N ;0
21-02-2018;25;31.4;27.5;82;1.2;4.4;5;280;1;N ;26;;27.9;84;45.1;7.9;4;310;2;N ;24;31.2;25.8;87;8888;5.4;8;270;2;N ;0
22-02-2018;26;29;27.3;84;1.2;5.7;4;210;1;N ;26;29.6;27.4;85;8.2;8;4;270;1;N ;23;30.4;26;86;8.9;5.3;5;330;1;N ;0
23-02-2018;26;30;27.7;80;0;0.6;4;270;2;N ;27;;28.1;81;;1;5;310;2;NW;24;30.8;26.6;83;;7.2;4;270;2;N ;0
24-02-2018;25;30.8;27.6;79;0;3.3;4;320;2;NW;26;31.1;28.2;75;;5;5;270;2;N ;23;30.7;26;84;2.7;3.9;8;290;2;N ;0
25-02-2018;25;30.4;27.5;83;5;8;7;310;2;N ;;31.4;28.2;80;7;9.5;3;270;1;N ;;32;25.6;86;;7.1;6;360;2;N ;0
26-02-2018;25;29.6;27;84;19.1;8;4;160;2;N ;25;30.4;27.2;85;35.7;8.6;4;290;1;N ;22;31.8;25.1;88;11.9;7.4;8;270;4;N ;0
27-02-2018;25;31.2;27.7;83;32.2;2.3;5;280;2;W ;;31.2;27.8;83;31.5;4;6;290;2;N ;23;30.8;25.6;88;16.7;3.8;4;250;1;N ;0
28-02-2018;;30.4;27;84;3.8;4.7;3;330;1;N ;24;30.4;26.6;87;21.5;6.3;4;270;1;N ;24;27.8;25.6;87;2.1;5.6;4;360;2;N ;0
01-03-2018;26;30.6;27.6;86;2.4;1.2;4;310;1;N ;24;;28.3;84;2;2;2;240;0;N ;23;30.7;25.5;89;9.7;0;5;90;1;N ;0
08-03-2021;;31.4;27;80;2;0.2;5;250;2;W ;25.4;31;27;82;5.6;2.1;8;310;3;W ;21.4;;;;5.6;5.4;8;180;1;N ;0
09-03-2021;24.8;30.4;27.3;80;3.4;2;5;330;1;C ;25.4;31.2;27.3;83;0.2;4.1;4;300;1;C ;21.2;31.4;25.3;86;;3.6;6;330;1;C ;0
10-03-2021;25;30.6;27.4;83;40.6;3.5;9;330;2;C ;25.4;30.8;27.6;84;8.8;5.5;8;300;2;N ;21.6;30.2;25.5;85;9.3;5.7;3;310;1;C ;0
11-03-2021;23;30.2;26;82;35.1;5.6;5;290;1;C ;23.2;30.3;26;85;28;5.1;5;290;2;C ;20.8;29.5;24.6;89;17.1;4.7;3;360;1;C ;0
12-03-2021;23.4;29.6;27.4;83;1;3.3;6;340;2;C ;23.2;29.2;27.5;85;2.6;3;6;270;3;W ;22.2;32;;;8888;3.6;3;270;1;C ;0
13-03-2021;25.8;32.8;28.7;74;0.1;2.1;6;330;2;C ;;31.8;28.5;79;4.5;;6;300;3;W ;22;32;26.2;79;;10;5;270;2;W ;0
14-03-2021;25;30.8;26.9;79;2.6;5;4;250;1;C ;26.2;30.6;26.9;80;;;9;270;3;W ;20;31.6;24.9;83;8888;8.3;3;160;1;C ;0
15-03-2021;25;30.2;27.6;84;5.2;4.8;4;250;1;C ;24.2;29.6;27.7;85;26.7;5.9;4;40;1;C ;21.3;31.3;25.8;85;0.7;6;4;40;1;C ;0
16-03-2021;25;32.2;27.8;82;;0;5;310;1;C ;26.6;31.3;28.4;81;;0;6;310;2;C ;21.6;32.8;26.1;79;7;4.7;3;200;1;C ;0
17-03-2021;24.8;32;28.1;76;13.6;4;8;320;2;C ;26.4;32.6;28.9;77;0;7;4;340;2;NW;;32.7;25.8;82;0;6.3;6;180;2;N ;0
18-03-2021;26.4;32;29;74;0;8.2;4;300;1;C ;26.4;32.6;29.6;78;0;8.6;5;310;2;C ;22.4;;;;7;7.7;2;280;1;W ;0
19-03-2021;27;31.6;28.9;76;0;7;7;290;2;C ;27.6;31.2;29;81;;11.1;8;330;2;W ;22.6;32.2;26.7;82;9.2;5.7;4;220;2;NW;0
20-03-2021;25;31.8;27.8;80;;4.6;5;330;3;W ;26.8;32;28.4;79;;4;5;350;2;W ;22.3;31.7;25.9;86;;5.3;4;180;1;C ;0
21-03-2021;26;32.8;28.4;79;4;3.6;6;330;2;NW;26.8;32.3;29.1;78;0.2;4.7;7;310;3;W ;;;;;;;;;;;0
22-03-2021;26.2;32.8;29.3;73;;8;5;320;2;C ;26.8;32.5;29;79;0;8.6;9;320;4;W ;21.6;;;;8.5;6.1;2;180;0;C ;0
23-03-2021;26.8;33.8;29.1;75;0;8;8;280;2;C ;27;33;29.3;76;8;10;8;310;4;W ;22.1;;;;;6.3;0;0;0;C ;0
24-03-2021;26.4;33.2;28.9;72;;8;6;270;3;W ;27;32.6;28.9;74;;10.6;9;280;4;W ;22.5;30.9;;;20.2;5;3;360;1;C ;0
25-03-2021;27;31.4;28.8;72;;5;5;320;1;C ;27;31.4;28.9;81;0;5.6;5;310;2;W ;23;32.1;;;0;4.5;5;270;1;C ;0
26-03-2021;26;32.6;28.8;76;0;5;7;320;2;C ;26.4;32.5;28.8;85;8.8;7.3;6;320;2;C ;;;;;;;;;;;0
27-03-2021;26.8;32;28.3;82;0;8.4;5;290;2;C ;26.4;32.6;29.6;85;0;10.1;6;10;2;C ;22.8;;;;2.5;7.7;3;90;1;C ;0
28-03-2021;25;32.8;28.8;79;4.5;2.3;5;310;1;C ;26.7;32;29.1;84;3.6;4.4;5;30;2;C ;22.6;34.2;26.6;85;43.4;4.7;3;80;1;C ;0
29-03-2021;26.4;32;28.3;82;;8.5;8;330;2;C ;;32;29;86;0.8;10.1;4;320;2;W ;23.4;31.6;26.4;89;8;8;4;360;1;C ;0
30-03-2021;27;29.4;27.8;86;3.5;1.3;2;70;1;C ;27.5;29.6;27.9;91;0.5;2.1;4;60;2;W ;23.9;30.5;25.9;90;4.1;3.7;3;340;1;C ;0
31-03-2021;26;33;28.5;79;0.6;1;6;290;2;C ;26.4;33.2;28.8;86;1.2;0;6;310;4;W ;22.4;32.5;26.4;87;4.4;0.6;5;270;1;C ;0
01-04-2021;25;30.4;27.8;76;4;7;3;260;1;W ;26.2;30;27.7;86;0.7;7.7;8;290;4;W ;23.2;;;;4.5;8.5;5;270;2;W ;0
02-04-2021;25.8;32.2;29;73;;0.2;7;320;2;C ;26.2;32;29.3;82;0;0;4;30;2;C ;23.4;;;;0;1.5;4;320;1;C ;0
03-04-2021;25;29.8;26.9;88;73.4;8;2;130;1;C ;25;29;26.9;91;46;9.6;3;150;1;SE;23.2;;;;39.2;5.5;3;180;0;C ;0
04-04-2021;25.2;30.2;27.7;84;1.6;0;4;290;1;C ;25.6;30;27.8;89;3;0;4;320;2;NE;22.7;30.5;;;4;0;4;360;1;C ;0
05-04-2021;25;32;28.5;78;;0.4;4;320;2;C ;26.6;31.5;29;85;0;0.2;4;310;2;W ;23;30.3;26.2;84;0.8;1.3;5;310;2;W ;0
06-04-2021;26;33.4;29;71;;1.5;10;250;5;W ;25.6;33.2;28.5;83;0;1;10;270;6;W ;;31;;;1.2;2.3;5;270;1;C ;0
07-04-2021;25.4;30.4;27.8;76;0.8;5.6;9;260;2;W ;25.6;30.8;28.1;84;1.6;4.7;9;280;3;W ;;;;;;;;;;;0
08-04-2021;25.6;33.4;29.1;75;0.9;0.8;6;280;1;C ;25.4;32.5;28.8;84;1.5;0.6;5;350;3;W ;21;;26.5;78;0.2;3.5;4;270;3;NW;0